episode,return,steps,epsilon,avg_mastery,frac_mastery3,mastered_hard,mastered_soft
193,460.99999999999955,100,0.11199420463549621,1.0,0.3333333333333333,0,0
194,407.99999999999943,100,0.11165822202158972,2.0,0.6666666666666666,0,0
195,599.999999999999,100,0.11132324735552494,1.3333333333333333,0.3333333333333333,0,0
196,529.9999999999992,100,0.11098927761345836,2.0,0.6666666666666666,0,0
197,437.9999999999995,100,0.110656309780618,2.0,0.6666666666666666,0,0
198,410.9999999999996,100,0.11032434085127614,1.3333333333333333,0.3333333333333333,0,0
199,528.9999999999992,100,0.10999336782872231,2.0,0.6666666666666666,0,0
200,470.9999999999991,100,0.10966338772523614,1.3333333333333333,0.3333333333333333,0,0
201,524.9999999999989,100,0.10933439756206043,2.0,0.6666666666666666,0,0
202,538.999999999999,100,0.10900639436937425,1.3333333333333333,0.3333333333333333,0,0
203,566.999999999999,100,0.10867937518626612,2.0,0.6666666666666666,0,0
204,568.9999999999992,100,0.10835333706070732,1.3333333333333333,0.3333333333333333,0,0
205,460.99999999999955,100,0.1080282770495252,1.0,0.3333333333333333,0,0
206,358.9999999999995,100,0.10770419221837661,1.6666666666666667,0.3333333333333333,0,0
207,325.9999999999999,100,0.10738107964172149,1.6666666666666667,0.3333333333333333,0,0
208,300.99999999999983,100,0.10705893640279632,1.3333333333333333,0.3333333333333333,0,0
209,464.9999999999992,100,0.10673775959358793,2.0,0.6666666666666666,0,0
210,436.99999999999983,100,0.10641754631480717,2.3333333333333335,0.6666666666666666,0,0
211,420.99999999999943,100,0.10609829367586275,2.3333333333333335,0.6666666666666666,0,0
212,368.99999999999943,100,0.10577999879483516,2.0,0.6666666666666666,0,0
213,407.99999999999994,100,0.10546265879845065,1.0,0.3333333333333333,0,0
214,500.99999999999926,100,0.1051462708220553,1.0,0.3333333333333333,0,0
215,333.9999999999999,100,0.10483083200958913,2.0,0.6666666666666666,0,0
216,401.9999999999992,100,0.10451633951356036,2.0,0.6666666666666666,0,0
217,392.9999999999993,100,0.10420279049501968,2.0,0.6666666666666666,0,0
218,569.999999999999,100,0.10389018212353462,2.0,0.6666666666666666,0,0
219,511.99999999999903,100,0.10357851157716402,1.6666666666666667,0.3333333333333333,0,0
220,332.9999999999999,100,0.10326777604243254,1.6666666666666667,0.3333333333333333,0,0
221,571.9999999999991,100,0.10295797271430523,1.0,0.3333333333333333,0,0
222,585.9999999999991,100,0.10264909879616232,1.3333333333333333,0.3333333333333333,0,0
223,486.999999999999,100,0.10234115149977384,1.0,0.3333333333333333,0,0
224,630.999999999999,100,0.10203412804527452,2.0,0.6666666666666666,0,0
225,546.9999999999992,100,0.1017280256611387,1.3333333333333333,0.3333333333333333,0,0
226,407.99999999999926,100,0.10142284158415528,1.3333333333333333,0.3333333333333333,0,0
227,476.9999999999989,100,0.10111857305940282,1.3333333333333333,0.3333333333333333,0,0
228,598.9999999999991,100,0.10081521734022461,1.0,0.3333333333333333,0,0
229,492.99999999999915,100,0.10051277168820394,1.3333333333333333,0.3333333333333333,0,0
230,649.9999999999991,100,0.10021123337313932,1.0,0.3333333333333333,0,0
231,664.999999999999,100,0.0999105996730199,1.0,0.3333333333333333,0,0
232,712.9999999999989,100,0.09961086787400085,1.0,0.3333333333333333,0,0
233,656.9999999999989,100,0.09931203527037885,1.0,0.3333333333333333,0,0
234,451.99999999999943,100,0.09901409916456771,1.0,0.3333333333333333,0,0
235,559.9999999999991,100,0.09871705686707401,1.0,0.3333333333333333,0,0
236,507.9999999999991,100,0.09842090569647279,1.6666666666666667,0.3333333333333333,0,0
237,544.9999999999993,100,0.09812564297938337,1.0,0.3333333333333333,0,0
238,464.99999999999943,100,0.09783126605044522,1.3333333333333333,0.3333333333333333,0,0
239,602.999999999999,100,0.09753777225229388,1.0,0.3333333333333333,0,0
240,514.9999999999991,100,0.097245158935537,2.0,0.3333333333333333,0,0
241,556.9999999999991,100,0.09695342345873038,1.0,0.3333333333333333,0,0
242,619.999999999999,100,0.09666256318835419,1.0,0.3333333333333333,0,0
243,560.9999999999992,100,0.09637257549878912,1.3333333333333333,0.3333333333333333,0,0
244,562.999999999999,100,0.09608345777229275,2.0,0.6666666666666666,0,0
245,315.9999999999998,100,0.09579520739897587,1.0,0.3333333333333333,0,0
246,536.9999999999993,100,0.09550782177677894,1.3333333333333333,0.3333333333333333,0,0
247,612.9999999999991,100,0.0952212983114486,1.0,0.3333333333333333,0,0
248,499.9999999999992,100,0.09493563441651426,1.3333333333333333,0.3333333333333333,0,0
249,669.999999999999,100,0.09465082751326472,1.0,0.3333333333333333,0,0
250,719.9999999999989,100,0.09436687503072493,1.0,0.3333333333333333,0,0
251,626.999999999999,100,0.09408377440563274,1.0,0.3333333333333333,0,0
252,542.9999999999991,100,0.09380152308241585,1.3333333333333333,0.3333333333333333,0,0
253,709.9999999999989,100,0.0935201185131686,1.3333333333333333,0.3333333333333333,0,0
254,559.999999999999,100,0.0932395581576291,1.3333333333333333,0.3333333333333333,0,0
255,386.9999999999993,100,0.09295983948315621,2.0,0.6666666666666666,0,0
256,549.9999999999987,100,0.09268095996470674,1.3333333333333333,0.3333333333333333,0,0
257,611.9999999999989,100,0.09240291708481262,1.0,0.3333333333333333,0,0
258,471.99999999999926,100,0.09212570833355818,2.0,0.6666666666666666,0,0
259,556.9999999999989,100,0.09184933120855751,1.0,0.3333333333333333,0,0
260,562.9999999999987,100,0.09157378321493184,1.3333333333333333,0.3333333333333333,0,0
261,554.9999999999994,100,0.09129906186528705,1.0,0.3333333333333333,0,0
262,601.9999999999992,100,0.09102516467969118,1.0,0.3333333333333333,0,0
263,387.9999999999992,100,0.09075208918565211,2.0,0.6666666666666666,0,0
264,566.999999999999,100,0.09047983291809515,2.0,0.3333333333333333,0,0
265,735.9999999999989,100,0.09020839341934087,1.3333333333333333,0.3333333333333333,0,0
266,440.9999999999993,100,0.08993776823908284,1.3333333333333333,0.3333333333333333,0,0
267,595.9999999999989,100,0.08966795493436559,1.0,0.3333333333333333,0,0
268,660.999999999999,100,0.0893989510695625,1.6666666666666667,0.3333333333333333,0,0
269,592.9999999999989,100,0.08913075421635382,1.6666666666666667,0.3333333333333333,0,0
270,519.999999999999,100,0.08886336195370476,1.6666666666666667,0.3333333333333333,0,0
271,537.9999999999993,100,0.08859677186784364,1.6666666666666667,0.3333333333333333,0,0
272,400.99999999999966,100,0.0883309815522401,1.6666666666666667,0.3333333333333333,0,0
273,459.9999999999993,100,0.08806598860758338,2.0,0.6666666666666666,0,0
274,537.9999999999993,100,0.08780179064176064,1.0,0.3333333333333333,0,0
275,502.99999999999886,100,0.08753838526983536,1.0,0.3333333333333333,0,0
276,546.9999999999986,100,0.08727577011402585,1.0,0.3333333333333333,0,0
277,335.9999999999997,100,0.08701394280368377,2.0,0.6666666666666666,0,0
278,708.9999999999987,100,0.08675290097527272,1.0,0.3333333333333333,0,0
279,663.9999999999985,100,0.0864926422723469,1.3333333333333333,0.3333333333333333,0,0
280,381.99999999999943,100,0.08623316434552986,2.0,0.6666666666666666,0,0
281,567.999999999999,100,0.08597446485249327,2.0,0.3333333333333333,0,0
282,686.9999999999992,100,0.0857165414579358,1.3333333333333333,0.3333333333333333,0,0
283,716.9999999999987,100,0.08545939183356199,1.0,0.3333333333333333,0,0
284,652.9999999999986,100,0.08520301365806131,1.0,0.3333333333333333,0,0
285,385.99999999999943,100,0.08494740461708712,1.6666666666666667,0.3333333333333333,0,0
286,408.999999999999,100,0.08469256240323586,1.0,0.3333333333333333,0,0
287,685.9999999999989,100,0.08443848471602615,1.3333333333333333,0.3333333333333333,0,0
288,666.9999999999987,100,0.08418516926187807,1.0,0.3333333333333333,0,0
289,602.9999999999991,100,0.08393261375409243,1.0,0.3333333333333333,0,0
290,593.9999999999987,100,0.08368081591283015,1.0,0.3333333333333333,0,0
