episode,reward,steps,mode,seed
427,759.8400000000004,36,random,3
428,764.1600000000003,24,random,3
429,1166.8200000000006,38,random,3
430,772.7200000000001,48,random,3
431,866.32,28,random,3
432,879.8300000000002,27,random,3
433,920.6600000000004,24,random,3
434,804.0800000000002,32,random,3
435,634.15,15,random,3
436,1028.2100000000005,69,random,3
437,1208.7400000000002,36,random,3
438,837.6800000000002,52,random,3
439,892.67,33,random,3
440,692.4399999999998,36,random,3
441,862.69,21,random,3
442,1520.6799999999994,62,random,3
443,1472.1499999999996,85,random,3
444,1012.0099999999998,49,random,3
445,861.4100000000001,19,random,3
446,881.0700000000003,33,random,3
447,1412.61,49,random,3
448,636.62,18,random,3
449,921.4000000000002,30,random,3
450,728.3200000000004,28,random,3
451,1338.8399999999992,66,random,3
452,1542.8999999999992,50,random,3
453,785.0300000000002,27,random,3
454,546.8399999999997,26,random,3
455,1319.9199999999987,68,random,3
456,650.22,18,random,3
457,1666.519999999999,78,random,3
458,1165.96,34,random,3
459,525.2399999999998,16,random,3
460,1182.15,35,random,3
461,1110.9700000000007,43,random,3
462,1417.019999999999,68,random,3
463,1020.2900000000006,51,random,3
464,1160.4000000000003,40,random,3
465,696.7699999999998,23,random,3
466,733.1799999999997,32,random,3
467,920.5400000000004,26,random,3
468,804.7900000000001,21,random,3
469,903.35,45,random,3
470,1145.2400000000002,46,random,3
471,823.53,27,random,3
472,635.32,18,random,3
473,675.7099999999997,29,random,3
474,1145.6300000000006,27,random,3
475,1637.5099999999989,69,random,3
476,917.77,23,random,3
477,758.3299999999996,37,random,3
478,1356.3300000000004,47,random,3
479,1245.0600000000004,44,random,3
480,747.8700000000001,33,random,3
481,580.1399999999999,16,random,3
482,968.9,40,random,3
483,1186.4700000000007,43,random,3
484,1052.3800000000006,32,random,3
485,1049.8000000000004,30,random,3
486,899.6600000000003,34,random,3
487,955.9600000000006,34,random,3
488,1605.6899999999996,61,random,3
489,1107.2200000000005,28,random,3
490,1146.3600000000004,34,random,3
491,977.8900000000004,31,random,3
492,1098.7200000000012,68,random,3
493,862.34,26,random,3
494,839.1800000000001,32,random,3
495,1109.69,31,random,3
496,650.8999999999999,20,random,3
497,1489.0899999999997,41,random,3
498,1483.8699999999994,43,random,3
499,747.02,18,random,3
500,978.6900000000004,31,random,3
501,708.23,27,random,3
502,751.5999999999999,20,random,3
503,819.1900000000002,21,random,3
504,1853.099999999998,90,random,3
505,1885.499999999999,70,random,3
506,748.66,14,random,3
507,1052.73,27,random,3
508,1241.7900000000004,41,random,3
509,1044.5300000000002,27,random,3
510,708.95,15,random,3
511,830.6699999999998,33,random,3
512,1673.6699999999987,63,random,3
513,690.9,10,random,3
514,1102.6200000000006,48,random,3
515,840.5800000000003,32,random,3
516,1719.679999999999,62,random,3
517,881.8100000000003,29,random,3
518,1133.3100000000013,79,random,3
519,695.9999999999998,20,random,3
520,807.03,17,random,3
521,972.34,36,random,3
522,1051.6700000000003,33,random,3
523,764.2100000000002,19,random,3
524,522.8899999999999,11,random,3
525,1233.7900000000009,51,random,3
526,1634.0899999999988,71,random,3
527,712.84,26,random,3
528,752.1799999999998,22,random,3
529,1221.0100000000002,39,random,3
530,755.2200000000001,28,random,3
531,1105.3300000000006,47,random,3
532,879.16,34,random,3
533,866.64,26,random,3
534,1006.2000000000002,30,random,3
535,655.9799999999999,22,random,3
536,692.1400000000001,16,random,3
537,764.3499999999999,35,random,3
538,995.3000000000002,30,random,3
539,524.52,18,random,3
540,1128.3500000000004,45,random,3
541,849.7999999999998,40,random,3
542,1104.1300000000006,47,random,3
543,1464.959999999999,64,random,3
544,997.6400000000002,36,random,3
545,1235.4499999999998,55,random,3
546,1098.3800000000006,42,random,3
547,914.54,16,random,3
548,691.7600000000001,14,random,3
549,746.9100000000001,19,random,3
550,633.8399999999999,16,random,3
551,1554.7399999999989,56,random,3
552,1051.5300000000004,27,random,3
553,866.8900000000006,31,random,3
554,868.9000000000002,30,random,3
555,990.2100000000004,49,random,3
556,806.7700000000003,23,random,3
557,845.24,36,random,3
558,1105.7300000000002,27,random,3
559,724.7400000000001,36,random,3
560,695.7999999999997,20,random,3
561,742.6400000000001,36,random,3
562,708.8900000000002,21,random,3
563,711.7399999999999,26,random,3
564,918.9700000000004,23,random,3
565,770.6100000000001,29,random,3
566,881.7800000000004,32,random,3
567,974.0200000000006,48,random,3
568,1244.5200000000004,48,random,3
569,1448.7399999999998,66,random,3
570,753.64,26,random,3
571,991.8500000000004,25,random,3
572,765.51,29,random,3
573,918.4800000000002,22,random,3
574,772.7499999999999,35,random,3
575,1578.2799999999995,42,random,3
576,713.35,35,random,3
577,862.8100000000001,19,random,3
578,1330.41,39,random,3
579,879.3200000000002,28,random,3
580,749.3200000000002,18,random,3
581,1685.2399999999989,56,random,3
582,1350.2400000000002,46,random,3
583,1095.8400000000006,36,random,3
584,1491.2399999999998,46,random,3
585,1556.9799999999996,52,random,3
586,2039.4999999999973,100,random,3
587,1753.579999999999,72,random,3
588,920.67,33,random,3
589,1960.399999999998,100,random,3
590,1897.8299999999972,97,random,3
591,1476.4299999999998,47,random,3
592,866.7599999999999,24,random,3
593,839.8000000000002,30,random,3
594,1138.2800000000002,32,random,3
595,1435.9699999999998,53,random,3
596,1548.679999999999,72,random,3
597,747.1300000000001,27,random,3
598,940.18,32,random,3
599,766.68,32,random,3
