episode,reward,steps,mode,seed
550,633.8399999999999,16,fixed,7
551,1554.7399999999989,56,fixed,7
552,1051.5300000000004,27,fixed,7
553,866.8900000000006,31,fixed,7
554,868.9000000000002,30,fixed,7
555,990.2100000000004,49,fixed,7
556,806.7700000000003,23,fixed,7
557,845.24,36,fixed,7
558,1105.7300000000002,27,fixed,7
559,724.7400000000001,36,fixed,7
560,695.7999999999997,20,fixed,7
561,742.6400000000001,36,fixed,7
562,708.8900000000002,21,fixed,7
563,711.7399999999999,26,fixed,7
564,918.9700000000004,23,fixed,7
565,770.6100000000001,29,fixed,7
566,881.7800000000004,32,fixed,7
567,974.0200000000006,48,fixed,7
568,1244.5200000000004,48,fixed,7
569,1448.7399999999998,66,fixed,7
570,753.64,26,fixed,7
571,991.8500000000004,25,fixed,7
572,765.51,29,fixed,7
573,918.4800000000002,22,fixed,7
574,772.7499999999999,35,fixed,7
575,1578.2799999999995,42,fixed,7
576,713.35,35,fixed,7
577,862.8100000000001,19,fixed,7
578,1330.41,39,fixed,7
579,879.3200000000002,28,fixed,7
580,749.3200000000002,18,fixed,7
581,1685.2399999999989,56,fixed,7
582,1350.2400000000002,46,fixed,7
583,1095.8400000000006,36,fixed,7
584,1491.2399999999998,46,fixed,7
585,1556.9799999999996,52,fixed,7
586,2039.4999999999973,100,fixed,7
587,1753.579999999999,72,fixed,7
588,920.67,33,fixed,7
589,1960.399999999998,100,fixed,7
590,1897.8299999999972,97,fixed,7
591,1476.4299999999998,47,fixed,7
592,866.7599999999999,24,fixed,7
593,839.8000000000002,30,fixed,7
594,1138.2800000000002,32,fixed,7
595,1435.9699999999998,53,fixed,7
596,1548.679999999999,72,fixed,7
597,747.1300000000001,27,fixed,7
598,940.18,32,fixed,7
599,766.68,32,fixed,7
