tag,seed,algo,episode,is_final,steps_to_mastery,total_reward,done_reason,running_mean_steps,running_mean_reward
b,4,Random,5,0,6,77.8,mastery,7.333,69.033
b,4,Random,6,0,16,67.8,mastery,8.571,68.857
b,4,Random,7,0,9,105.2,mastery,8.625,73.4
b,4,Random,8,0,18,70.4,mastery,9.667,73.067
b,4,Random,9,0,20,180.0,mastery,10.7,83.76
b,4,Random,10,0,16,136.8,mastery,11.182,88.582
b,4,Random,11,0,21,125.8,mastery,12.0,91.683
b,4,Random,12,0,5,67.0,mastery,11.462,89.785
b,4,Random,13,0,30,-8.0,timeout,12.786,82.8
b,4,Random,14,0,8,78.4,mastery,12.467,82.507
b,4,Random,15,0,22,70.6,mastery,13.062,81.763
b,4,Random,16,0,27,109.6,mastery,13.882,83.4
b,4,Random,17,0,7,97.6,mastery,13.5,84.189
b,4,Random,18,0,26,230.8,mastery,14.158,91.905
b,4,Random,19,0,19,67.2,mastery,14.4,90.67
b,4,Random,20,0,7,99.6,mastery,14.048,91.095
b,4,Random,21,0,17,129.6,mastery,14.182,92.845
b,4,Random,22,0,12,50.6,mastery,14.087,91.009
b,4,Random,23,0,15,58.0,mastery,14.125,89.633
b,4,Random,24,0,10,83.0,mastery,13.96,89.368
b,4,Random,25,0,11,88.8,mastery,13.846,89.346
b,4,Random,26,0,30,108.0,mastery,14.444,90.037
b,4,Random,27,0,12,83.6,mastery,14.357,89.807
b,4,Random,28,0,14,72.2,mastery,14.345,89.2
b,4,Random,29,0,8,66.4,mastery,14.133,88.44
b,4,Random,30,0,19,113.2,mastery,14.29,89.239
b,4,Random,31,0,30,193.0,timeout,14.781,92.481
b,4,Random,32,0,30,85.0,timeout,15.242,92.255
b,4,Random,33,0,7,74.6,mastery,15.0,91.735
b,4,Random,34,0,11,61.8,mastery,14.886,90.88
b,4,Random,35,0,18,167.4,mastery,14.972,93.006
b,4,Random,36,0,30,75.0,timeout,15.378,92.519
b,4,Random,37,0,30,76.0,timeout,15.763,92.084
b,4,Random,38,0,22,94.6,mastery,15.923,92.149
b,4,Random,39,0,15,102.0,mastery,15.9,92.395
b,4,Random,40,0,10,122.0,mastery,15.756,93.117
b,4,Random,41,0,22,111.6,mastery,15.905,93.557
b,4,Random,42,0,15,62.0,mastery,15.884,92.823
b,4,Random,43,0,23,125.4,mastery,16.045,93.564
b,4,Random,44,0,15,80.0,mastery,16.022,93.262
b,4,Random,45,0,10,127.0,mastery,15.891,93.996
b,4,Random,46,0,13,115.4,mastery,15.83,94.451
b,4,Random,47,0,17,65.6,mastery,15.854,93.85
b,4,Random,48,0,11,95.8,mastery,15.755,93.89
b,4,Random,49,1,6,71.8,mastery,15.56,93.448
b,4,SARSA,0,0,8,68.4,mastery,8.0,68.4
b,4,SARSA,1,0,10,69.0,mastery,9.0,68.7
b,4,SARSA,2,0,5,73.0,mastery,7.667,70.133
b,4,SARSA,3,0,8,66.4,mastery,7.75,69.2
b,4,SARSA,4,0,5,80.0,mastery,7.2,71.36
b,4,SARSA,5,0,13,66.4,mastery,8.167,70.533
b,4,SARSA,6,0,7,68.6,mastery,8.0,70.257
b,4,SARSA,7,0,5,73.0,mastery,7.625,70.6
b,4,SARSA,8,0,11,59.8,mastery,8.0,69.4
b,4,SARSA,9,0,5,73.0,mastery,7.7,69.76
b,4,SARSA,10,0,7,77.6,mastery,7.636,70.473
b,4,SARSA,11,0,5,73.0,mastery,7.417,70.683
