seed,algo,episode,steps_to_mastery,total_reward
7,SARSA,25,40,163.0
7,SARSA,26,18,67.2
7,SARSA,27,24,39.6
7,SARSA,28,11,43.9
7,SARSA,29,40,121.0
7,SARSA,30,40,156.0
7,SARSA,31,40,149.0
7,SARSA,32,40,211.0
7,SARSA,33,5,35.5
7,SARSA,34,19,74.1
7,SARSA,35,21,161.9
7,SARSA,36,40,145.0
7,SARSA,37,28,125.2
7,SARSA,38,40,163.0
7,SARSA,39,40,241.0
7,SARSA,40,40,186.0
7,SARSA,41,11,31.9
7,SARSA,42,17,66.3
7,SARSA,43,6,40.4
7,SARSA,44,5,47.5
7,SARSA,45,6,35.4
7,SARSA,46,19,87.1
7,SARSA,47,14,126.6
7,SARSA,48,40,149.0
7,SARSA,49,20,97.0
8,Random,0,26,28.4
8,Random,1,7,50.3
8,Random,2,27,131.3
8,Random,3,13,39.7
8,Random,4,15,19.5
8,Random,5,16,59.4
8,Random,6,6,33.4
8,Random,7,34,32.6
8,Random,8,18,17.2
8,Random,9,9,73.1
8,Random,10,6,45.4
8,Random,11,16,26.4
8,Random,12,33,82.7
8,Random,13,5,26.5
8,Random,14,7,33.3
8,Random,15,29,10.1
8,Random,16,28,15.2
8,Random,17,3,30.7
8,Random,18,15,54.5
8,Random,19,36,161.4
8,Random,20,20,97.0
8,Random,21,5,47.5
8,Random,22,40,14.0
8,Random,23,15,90.5
8,Random,24,17,60.3
8,Random,25,38,76.2
8,Random,26,9,49.1
8,Random,27,17,71.3
8,Random,28,23,155.7
8,Random,29,9,11.1
8,Random,30,19,143.1
8,Random,31,11,48.9
8,Random,32,9,47.1
8,Random,33,22,23.8
8,Random,34,35,181.5
8,Random,35,10,97.0
8,Random,36,34,210.6
8,Random,37,17,12.3
8,Random,38,7,29.3
8,Random,39,10,35.0
8,Random,40,8,25.2
8,Random,41,12,73.8
8,Random,42,40,18.0
8,Random,43,28,81.2
8,Random,44,5,47.5
8,Random,45,8,48.2
8,Random,46,18,113.2
8,Random,47,19,29.1
8,Random,48,21,22.9
8,Random,49,8,29.2
8,SARSA,0,40,111.0
8,SARSA,1,11,89.9
8,SARSA,2,33,197.7
8,SARSA,3,40,205.0
8,SARSA,4,10,80.0
8,SARSA,5,13,56.7
8,SARSA,6,6,33.4
8,SARSA,7,40,138.0
8,SARSA,8,10,48.0
8,SARSA,9,6,45.4
8,SARSA,10,40,83.0
8,SARSA,11,21,113.9
8,SARSA,12,24,93.6
8,SARSA,13,40,222.0
8,SARSA,14,9,48.1
8,SARSA,15,29,119.1
8,SARSA,16,40,163.0
8,SARSA,17,40,167.0
8,SARSA,18,7,38.3
8,SARSA,19,23,107.7
8,SARSA,20,9,68.1
8,SARSA,21,23,114.7
8,SARSA,22,24,159.6
8,SARSA,23,32,106.8
8,SARSA,24,40,131.0
8,SARSA,25,40,149.0
8,SARSA,26,40,154.0
8,SARSA,27,12,69.8
8,SARSA,28,14,73.6
8,SARSA,29,40,172.0
8,SARSA,30,23,105.7
8,SARSA,31,19,152.1
8,SARSA,32,40,179.0
8,SARSA,33,27,129.3
8,SARSA,34,40,198.0
8,SARSA,35,38,183.2
8,SARSA,36,8,57.2
8,SARSA,37,22,69.8
8,SARSA,38,6,47.4
8,SARSA,39,23,81.7
8,SARSA,40,28,132.2
8,SARSA,41,38,150.2
8,SARSA,42,37,262.3
8,SARSA,43,17,26.3
8,SARSA,44,40,266.0
8,SARSA,45,40,248.0
8,SARSA,46,30,170.0
8,SARSA,47,8,65.2
8,SARSA,48,40,246.0
8,SARSA,49,23,98.7
9,Random,0,19,133.1
9,Random,1,31,117.9
9,Random,2,6,38.4
9,Random,3,22,32.8
9,Random,4,15,35.5
9,Random,5,24,16.6
9,Random,6,16,47.4
9,Random,7,12,75.8
9,Random,8,40,99.0
9,Random,9,6,50.4
9,Random,10,9,63.1
9,Random,11,14,90.6
9,Random,12,5,35.5
9,Random,13,3,28.7
9,Random,14,6,33.4
9,Random,15,25,121.5
9,Random,16,9,27.1
9,Random,17,20,44.0
9,Random,18,18,104.2
9,Random,19,7,36.3
9,Random,20,38,62.2
9,Random,21,13,54.7
9,Random,22,10,25.0
9,Random,23,10,25.0
9,Random,24,12,32.8
9,Random,25,14,40.6
9,Random,26,13,87.7
9,Random,27,9,51.1
9,Random,28,36,61.4
9,Random,29,9,44.1
9,Random,30,18,36.2
9,Random,31,10,73.0
9,Random,32,40,78.0
9,Random,33,11,53.9
9,Random,34,5,40.5
9,Random,35,8,46.2
9,Random,36,6,33.4
9,Random,37,30,82.0
9,Random,38,9,44.1
9,Random,39,11,34.9
9,Random,40,28,75.2
9,Random,41,30,44.0
9,Random,42,6,17.4
9,Random,43,13,32.7
9,Random,44,14,30.6
9,Random,45,30,48.0
